genes,Entry,Entry Name,Protein,Gene,Organism,Status,GO-Biological process,Biological process,Molecular function,Ligand
UBASH3A,F1MYY9,F1MYY9_BOVIN,Estrogen receptor,ESR1,Bos taurus (Bovine),Reviewed,"androgen metabolic process antral ovarian follicle growth cellular response to estradiol stimulus cellular response to estrogen stimulus epithelial cell development epithelial cell proliferation involved in mammary gland duct elongation intracellular estrogen receptor signaling pathway intracellular steroid hormone receptor signaling pathway male gonad development mammary gland alveolus development mammary gland branching involved in pregnancy negative regulation of DNA-binding transcription factor activity negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of production of miRNAs involved in gene silencing by miRNA negative regulation of transcription by RNA polymerase II phospholipase C-activating G protein-coupled receptor signaling pathway positive regulation of cytosolic calcium ion concentration positive regulation of DNA-binding transcription factor activity positive regulation of fibroblast proliferation positive regulation of nitric oxide biosynthetic process positive regulation of nitric-oxide synthase activity positive regulation of phospholipase C activity positive regulation of RNA polymerase II transcription preinitiation complex assembly positive regulation of transcription, DNA-templated prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis prostate epithelial cord elongation protein localization to chromatin regulation of apoptotic process regulation of branching involved in prostate gland morphogenesis regulation of inflammatory response regulation of toll-like receptor signaling pathway regulation of transcription by RNA polymerase II Gaudet P. stem cell differentiation uterus development vagina development","Transcription, Transcription regulation","Activator, DNA-binding, Receptor","Lipid-binding, Metal-binding, Steroid-binding, Zinc"
RSPH1,A0A3Q1M905,A0A3Q1M905_BOVIN,Estrogen receptor,ESR1,Bos taurus (Bovine),Reviewed,"androgen metabolic process antral ovarian follicle growth cellular response to estradiol stimulus cellular response to estrogen stimulus epithelial cell development epithelial cell proliferation involved in mammary gland duct elongation intracellular estrogen receptor signaling pathway intracellular steroid hormone receptor signaling pathway male gonad development mammary gland alveolus development mammary gland branching involved in pregnancy negative regulation of DNA-binding transcription factor activity negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of production of miRNAs involved in gene silencing by miRNA negative regulation of transcription by RNA polymerase II phospholipase C-activating G protein-coupled receptor signaling pathway positive regulation of cytosolic calcium ion concentration positive regulation of DNA-binding transcription factor activity positive regulation of fibroblast proliferation positive regulation of nitric oxide biosynthetic process positive regulation of nitric-oxide synthase activity positive regulation of phospholipase C activity positive regulation of RNA polymerase II transcription preinitiation complex assembly positive regulation of transcription, DNA-templated prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis prostate epithelial cord elongation protein localization to chromatin regulation of apoptotic process regulation of branching involved in prostate gland morphogenesis regulation of inflammatory response regulation of toll-like receptor signaling pathway regulation of transcription by RNA polymerase II Gaudet P. stem cell differentiation uterus development vagina development","Transcription, Transcription regulation","Activator, DNA-binding, Receptor","Lipid-binding, Metal-binding, Steroid-binding, Zinc"
SLC37A1,E1B9Q0,E1B9Q0_BOVIN,Estrogen receptor,ESR1,Bos taurus (Bovine),Reviewed,"androgen metabolic process antral ovarian follicle growth cellular response to estradiol stimulus cellular response to estrogen stimulus epithelial cell development epithelial cell proliferation involved in mammary gland duct elongation intracellular estrogen receptor signaling pathway intracellular steroid hormone receptor signaling pathway male gonad development mammary gland alveolus development mammary gland branching involved in pregnancy negative regulation of DNA-binding transcription factor activity negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of production of miRNAs involved in gene silencing by miRNA negative regulation of transcription by RNA polymerase II phospholipase C-activating G protein-coupled receptor signaling pathway positive regulation of cytosolic calcium ion concentration positive regulation of DNA-binding transcription factor activity positive regulation of fibroblast proliferation positive regulation of nitric oxide biosynthetic process positive regulation of nitric-oxide synthase activity positive regulation of phospholipase C activity positive regulation of RNA polymerase II transcription preinitiation complex assembly positive regulation of transcription, DNA-templated prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis prostate epithelial cord elongation protein localization to chromatin regulation of apoptotic process regulation of branching involved in prostate gland morphogenesis regulation of inflammatory response regulation of toll-like receptor signaling pathway regulation of transcription by RNA polymerase II Gaudet P. stem cell differentiation uterus development vagina development","Transcription, Transcription regulation","Activator, DNA-binding, Receptor","Lipid-binding, Metal-binding, Steroid-binding, Zinc"
PDE9A,A0A3Q1N569,A0A3Q1N569_BOVIN,Estrogen receptor,ESR1,Bos taurus (Bovine),Reviewed,"androgen metabolic process antral ovarian follicle growth cellular response to estradiol stimulus cellular response to estrogen stimulus epithelial cell development epithelial cell proliferation involved in mammary gland duct elongation intracellular estrogen receptor signaling pathway intracellular steroid hormone receptor signaling pathway male gonad development mammary gland alveolus development mammary gland branching involved in pregnancy negative regulation of DNA-binding transcription factor activity negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of production of miRNAs involved in gene silencing by miRNA negative regulation of transcription by RNA polymerase II phospholipase C-activating G protein-coupled receptor signaling pathway positive regulation of cytosolic calcium ion concentration positive regulation of DNA-binding transcription factor activity positive regulation of fibroblast proliferation positive regulation of nitric oxide biosynthetic process positive regulation of nitric-oxide synthase activity positive regulation of phospholipase C activity positive regulation of RNA polymerase II transcription preinitiation complex assembly positive regulation of transcription, DNA-templated prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis prostate epithelial cord elongation protein localization to chromatin regulation of apoptotic process regulation of branching involved in prostate gland morphogenesis regulation of inflammatory response regulation of toll-like receptor signaling pathway regulation of transcription by RNA polymerase II Gaudet P. stem cell differentiation uterus development vagina development","Transcription, Transcription regulation","Activator, DNA-binding, Receptor","Lipid-binding, Metal-binding, Steroid-binding, Zinc"
WDR4,A7E3S5,WDR4_BOVIN,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4,WDR4,Bos taurus (Bovine),Reviewed,cellular response to DNA damage stimulus tRNA (guanine-N7)-methylation tRNA modification,"DNA damage, tRNA processing",,
NDUFV3,P25712,NDUV3_BOVIN,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,Bos taurus (Bovine),Reviewed,mitochondrial ATP synthesis coupled electron transport Gaudet P.,"Electron transport, Respiratory chain, Transport",,
PKNOX1,Q2HJ84,PKNX1_BOVIN,Homeobox protein PKNOX1,PKNOX1,Bos taurus (Bovine),Reviewed,angiogenesis Gaudet P. camera-type eye development erythrocyte differentiation positive regulation of transcription by RNA polymerase II regulation of transcription by RNA polymerase II Gaudet P. T cell differentiation,"Transcription, Transcription regulation",DNA-binding,
CBS,Q3SWY3,IMDH2_BOVIN,Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,Bos taurus (Bovine),Reviewed,cellular response to interleukin-4 circadian rhythm GMP biosynthetic process GTP biosynthetic process Gaudet P. lymphocyte proliferation,"GMP biosynthesis, Purine biosynthesis","DNA-binding, Oxidoreductase, RNA-binding","Metal-binding, NAD, Potassium"
U2AF1,A1A4K8,U2AF1_BOVIN,Splicing factor U2AF 35 kDa subunit,U2AF1,Bos taurus (Bovine),Reviewed,"mRNA splicing, via spliceosome Gaudet P.","mRNA processing, mRNA splicing",RNA-binding,"Metal-binding, Zinc"
CRYAA,P02470,CRYAA_BOVIN,,,,,,,,
SIK1,Q08DA1,AT1A1_BOVIN,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Bos taurus (Bovine),Reviewed,cellular potassium ion homeostasis Gaudet P. cellular sodium ion homeostasis Gaudet P. potassium ion import across plasma membrane Gaudet P. proton transmembrane transport Gaudet P. regulation of sodium ion transport sodium ion export across plasma membrane Gaudet P.,"Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport",Translocase,"ATP-binding, Magnesium, Metal-binding, Nucleotide-binding, Potassium, Sodium"
HSF2BP,Q2KJ94,RAD51_BOVIN,DNA repair protein RAD51 homolog 1,RAD51,Bos taurus (Bovine),Reviewed,cellular response to camptothecin cellular response to DNA damage stimulus cellular response to hydroxyurea cellular response to ionizing radiation chromosome organization involved in meiotic cell cycle DNA recombinase assembly DNA unwinding involved in DNA replication double-strand break repair via homologous recombination interstrand cross-link repair mitotic recombination-dependent replication fork processing natural killer cell inhibitory signaling pathway Gaudet P. negative regulation of signaling receptor activity Gaudet P. positive regulation of DNA ligation regulation of double-strand break repair via homologous recombination regulation of protein phosphorylation replication-born double-strand break repair via sister chromatid exchange telomere maintenance via recombination telomere maintenance via telomere lengthening,"DNA damage, DNA recombination, DNA repair",DNA-binding,"ATP-binding, Nucleotide-binding"
RRP1B,Q3SWW9,PP1B_BOVIN,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,PPP1CB,Bos taurus (Bovine),Reviewed,cell cycle cell division circadian regulation of gene expression entrainment of circadian clock by photoperiod glycogen metabolic process protein dephosphorylation regulation of cell adhesion regulation of circadian rhythm,"Biological rhythms, Carbohydrate metabolism, Cell cycle, Cell division, Glycogen metabolism","Hydrolase, Protein phosphatase","Manganese, Metal-binding"
PDXK,Q0II59,PDXK_BOVIN,Pyridoxal kinase,PDXK,Bos taurus (Bovine),Reviewed,pyridoxal 5'-phosphate salvage Gaudet P.,,"Kinase, Transferase","ATP-binding, Magnesium, Metal-binding, Nucleotide-binding, Sodium, Zinc"
